hipo;coce;coce_hipo
0;0;0.0074452726
0;0.1;0.0665588614
0;0.3;0.2033337431
0;1;0.2350557331
0;3;0.2378707539
0;10;0.1386924375
0.1;0;0.3595358568
0.1;0.1;0.2446008652
0.1;0.3;0.322749648
0.1;1;0.5274273006
0.1;3;0.3436347986
0.1;10;0.1351220027
0.3;0;0.5368272531
0.3;0.1;0.3033164702
0.3;0.3;0.3438544698
0.3;1;0.1686339597
0.3;3;0.1766782121
0.3;10;0.1865402489
1;0;0.2895227262
1;0.1;0.1540308038
1;0.3;0.1707848535
1;1;0.2944405807
1;3;0.1420145631
1;10;0.1912337879
3;0;0.1569221732
3;0.1;0.0495462168
3;0.3;0.1402507076
3;1;0.2908067791
3;3;0.1017819576
3;10;0.16487221
10;0;0.0395193052
10;0.1;0.0408646124
10;0.3;0.0237165563
10;1;0.014049799
10;3;0.1797708656
10;10;0.0916008651
