hip,benzal,hip_benzal_adder
0,0,47.5149577038
0,1,27.9712277115
0,10,84.8891709847
0,20,158.3544726317
0,100,475.0621050187
0,500,903.2326580689
0,1000,919.1105938081
1,0,30.0588152211
1,1,28.1977374216
1,10,93.3350706977
1,20,159.4401445943
1,100,381.3766445705
1,500,732.9079841143
1,1000,1166.6116755681
10,0,86.2144572209
10,1,81.194409503
10,10,139.9369928447
10,20,188.634955156
10,100,470.0044058866
10,500,804.2009875419
10,1000,1134.1843304545
20,0,175.0692242149
20,1,124.1757895976
20,10,231.4451203514
20,20,273.8018501825
20,100,463.7883059316
20,500,704.2105091692
20,1000,1063.2409191938
100,0,597.2984068463
100,1,470.3274705135
100,10,490.0770825019
100,20,587.175805574
100,100,557.0478276671
100,500,930.1619021496
100,1000,1092.1426099385
500,0,862.9616994267
500,1,794.7597169541
500,10,877.4900272702
500,20,938.5555633797
500,100,1036.4079559468
500,500,1181.835765603
500,1000,1270.3413185452
1000,0,886.9525958785
1000,1,891.2346128351
1000,10,899.482046865
1000,20,1087.8904868758
1000,100,1111.7234053355
1000,500,1158.3198691596
1000,1000,1478.605024489
